Entrada;101;3.0;6.0
101;Entrada;3.0;6.0
101;A2;5.0;10.0
A2;101;5.0;10.0
A2;111;5.0;10.0
111;A2;5.0;10.0
A2;110;7.0;14.0
110;A2;7.0;14.0
110;109;5.0;10.0
109;110;5.0;10.0
110;111;5.0;10.0
111;110;5.0;10.0
109;108;5.0;10.0
108;109;5.0;10.0
108;107;6.0;12.0
107;108;6.0;12.0
10;107;5.0;10.0
107;10;5.0;10.0
108;WC1M;8.0;16.0
WC1M;108;8.0;16.0
107;WC1M;6.0;12.0
WC1M;107;6.0;12.0
WC1M;M.Café1;10.0;20.0
WC1M;10;5.0;10.0
10;WC1M;5.0;10.0
M.Café1;WC1M;10.0;20.0
108;M.Café1;11.0;22.0
107;M.Café1;10.0;20.0
10;M.Café1;9.0;18.0
M.Café1;108;11.0;22.0
M.Café1;107;10.0;20.0
M.Café1;10;9.0;18.0
108;Escadas1;13.0;26.0
Escadas1;108;13.0;26.0
WC1M;Escadas1;7.0;14.0
Escadas1;WC1M;7.0;14.0
M.Café1;Escadas1;6.0;12.0
Escadas1;M.Café1;6.0;12.0
Escadas1;106;5.0;10.0
106;Escadas1;5.0;10.0
106;WC1F;4.0;8.0
WC1F;106;4.0;8.0
WC1F;M.Café1;4.0;8.0
M.Café1;WC1F;4.0;8.0
106;M.Café1;4.0;8.0
M.Café1;106;4.0;8.0
105;M.Café1;4.0;8.0
M.Café1;105;4.0;8.0
105;104;5.0;10.0
104;105;5.0;10.0
104;103;5.0;10
103;104;5.0;10.0
103;102;5.0;10.0
102;103;5.0;10.0
102;101;5.0;10
101;102;5.0;10.0
Escadas2;WC2M;10.0;20.0
WC2M;Escadas2;10.0;20.0
Escadas2;207;9.0;18.0
207;Escadas2;9.0;18.0
WC2F;14;3.0;6.0
14;WC2F;3.0;6.0
WC2F;206;3.0;6.0
206;WC2F;3.0;6.0
14;M.Café2;3.0;6.0
M.Café2;14;3.0;6.0
14;Escadas2;5.0;10.0
Escadas2;14;5.0;10.0
Escadas2;WC2M;7.0;14.0
WC2M;Escadas2;7.0;14.0
Escadas3;SPG;4.0;8.0
SPG;Escadas3;4.0;8.0
309;Escadas3;7.0;14.0
Escadas3;309;7.0;14.0
WC2M;207;3.0;6.0
207;WC2M;3.0;6.0
207;208;5.0;10.0
208;207;5.0;10.0
208;209;5.0;10.0
209;208;5.0;10.0
210;209;5.0;10.0
209;210;5.0;10.0
210;211;5.0;10.0
211;210;5.0;10.0
211;212;5.0;10.0
212;211;5.0;10.0
211;19;6.0;12.0
19;211;6.0;12.0
212;20;4.0;8.0
20;212;4.0;8.0
19;20;3.0;6.0
20;19;3.0;6.0
19;18;2.0;4.0
18;19;2.0;4.0
17;18;2.0;4.0
18;17;2.0;4.0
16;17;2.0;4.0
17;16;2.0;4.0
15;16;2.0;4.0
16;15;2.0;4.0
201;15;2.0;4.0
15;201;2.0;4.0
15;202;5.0;10.0
202;15;5.0;10.0
202;15;5.0;10.0
202;201;5.0;10.0
201;202;5.0;10.0
203;202;5.0;10.0
202;203;5.0;10.0
204;203;5.0;10.0
203;204;5.0;10.0
205;204;5.0;10.0
204;205;5.0;10.0
205;206;5.0;10.0
206;205;5.0;10.0
206;M.Café2;3.0;6.0
M.Café2;206;3.0;6.0
309;WC3M;3.0;6.0
WC3M;309;3.0;6.0
WC3M;WC3F;3.0;6.0
WC3F;WC3M;3.0;6.0
WC3F;308;3.0;6.0
308;WC3F;3.0;6.0
309;308;5.0;10.0
308;309;5.0;10.0
308;307;5.0;10.0
307;308;5.0;10.0
307;306;5.0;10.0
306;307;5.0;10.0
306;SIUFP;5.0;10.0
SIUFP;306;5.0;10.0
SIUFP;SRDF;5.0;10.0
SRDF;SIUFP;5.0;10.0
SRDF;38;5.0;10.0
38;SRDF;5.0;10.0
37;SRDF;6.0;12.0
SRDF;37;6.0;12.0
38;37;2.0;4.0
37;38;2.0;4.0
37;36;2.0;4.0
36;37;2.0;4.0
35;36;2.0;4.0
36;35;2.0;4.0
34;35;2.0;4.0
35;34;2.0;4.0
33;34;2.0;4.0
34;33;2.0;4.0
32;33;2.0;4.0
33;32;2.0;4.0
305;32;7.0;14.0
32;305;7.0;14
32;31;2.0;4.0
31;32;2.0;4.0
305;31;5.0;10.0
31;305;5.0;10.0
304;305;5.0;10.0
305;304;5.0;10.0
303;304;5.0;10.0
304;303;5.0;10.0
302;304;5.0;10.0
303;302;5.0;10.0
302;303;5.0;10.0
301;302;5.0;10.0
302;301;5.0;10.0
SDF;301;5.0;10.0
301;SDF;5.0;10.0
SDF;SPG;5.0;10.0
SPG;SDF;5.0;10.0
M.Café3;SPG;8.0;16.0
SPG;M.Café3;8.0;16.0
M.Café3;301;3.0;6.0
301;M.Café3;3.0;6.0
302;M.Café3;3.0;6.0
M.Café3;302;3.0;6.0
Escadas1;Escadas2;10.0;20.0;
Escadas2;Escadas3;10.0;20.0;
